URL,Address,Bedrooms,Bathrooms,Property Type,BER Rating,Price (€),lat,lon,nearest_park_km_y,nearest_beach_km_y,nearest_gym_km_y,nearest_supermarket_km_y,nearest_bus_stop_km_y,nearest_rail_station_km_y,nearest_tram_stop_km_y,nearest_park_name_y,nearest_beach_name_y,nearest_gym_name_y,nearest_supermarket_name_y,nearest_bus_stop_name_y,nearest_rail_station_name_y,nearest_tram_stop_name_y,bad_geocode,distance_to_city_centre_km,price_per_bedroom,energy_monthly_estimate,effective_monthly_cost,energy_estimate_available,effective_cost_display
https://www.daft.ie/for-rent/house-monastery-gate-avenue-clondalkin-dublin-22/6218280,"Monastery Gate Avenue, Clondalkin, Dublin 22",4.0,3.0,House,,2650.0,53.3194138,-6.3749631,5.122,10.97,7.848,7.359,7.979,6.317,7.834,Phoenix Park,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Heuston Station,Charlemont Luas,False,8.329577615872784,662.0,,,False,2650.0
https://www.daft.ie/for-rent/house-40-newcastle-boulevard-newcastle-co-dublin/6202541,"40 Newcastle Boulevard, Newcastle, Co. Dublin",3.0,3.0,House,B3,2500.0,53.29558,-6.4944737,12.876,19.226,16.219,15.554,16.315,14.627,16.141,Phoenix Park,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Heuston Station,Charlemont Luas,False,16.68088499922016,833.0,141.0,2641.0,True,2641.0
https://www.daft.ie/for-rent/house-28-cabra-drive-dublin-7-north-circular-road-dublin-7/6193753,"28 Cabra Drive, Dublin 7, North Circular Road, Dublin 7",3.0,2.0,House,E2,2900.0,53.3592454,-6.2905146,2.628,6.269,2.648,1.228,1.244,1.375,2.289,Phoenix Park,Sandymount Strand,FlyeFit Georges St,Aldi Phibsborough,Phibsborough Rd Stop,Heuston Station,Abbey Street Luas,False,2.2636804673943773,967.0,368.0,3268.0,True,3268.0
https://www.daft.ie/for-rent/house-woodford-meadows-clondalkin-dublin-22/6148499,"Woodford Meadows, Clondalkin, Dublin 22",3.0,3.0,House,,2700.0,53.3250453,-6.3798311,4.843,11.248,7.983,7.694,8.199,6.336,8.031,Phoenix Park,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Phibsborough Rd Stop,Heuston Station,St Stephen's Green Luas,False,8.40002536729268,900.0,,,False,2700.0
https://www.daft.ie/for-rent/apartment-6-tivoli-terrace-dun-laoghaire-co-dublin/6165537,"6 Tivoli Terrace, Dun Laoghaire, Co. Dublin",3.0,2.0,Apartment,BER Exempt,2995.0,53.2908552,-6.1415672,8.922,4.319,4.902,5.212,8.987,9.182,8.855,Merrion Square Park,Killiney Beach,Raw Gyms Sandyford,SuperValu Balally,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,False,10.254492982512255,998.0,,,False,2995.0
https://www.daft.ie/for-rent/apartment-24-fernleigh-grove-dublin-15-carpenterstown-dublin-15/6192336,"24 Fernleigh Grove, Dublin 15, Carpenterstown, Dublin 15",2.0,3.0,Apartment,BER Exempt,2586.0,53.371564,-6.4021863,5.07,13.561,9.805,8.684,8.717,7.828,9.728,Phoenix Park,Sandymount Strand,FlyeFit Georges St,Aldi Phibsborough,Phibsborough Rd Stop,Heuston Station,Abbey Street Luas,False,9.721390314813616,1293.0,,,False,2586.0
https://www.daft.ie/for-rent/house-allen-park-drive-stillorgan-co-dublin/6216317,"Allen Park Drive, Stillorgan, Co. Dublin",3.0,1.0,House,,3000.0,53.2873809,-6.2024173,6.544,4.682,1.388,1.318,6.236,6.962,5.964,Merrion Square Park,Sandymount Strand,Raw Gyms Sandyford,SuperValu Balally,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,False,7.93445645923228,1000.0,,,False,3000.0
https://www.daft.ie/for-rent/house-16-larkfield-view-clay-farm-leopardstown-dublin-18/6216228,"16 Larkfield View, Clay Farm, Leopardstown, Dublin 18",3.0,3.0,House,A2,3295.0,53.258075,-6.2017939,9.561,6.345,2.085,2.65,9.103,10.015,8.772,Merrion Square Park,Killiney Beach,Raw Gyms Sandyford,SuperValu Balally,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,False,10.91511730901737,1098.0,38.0,3333.0,True,3333.0
https://www.daft.ie/for-rent/flat-cabra-park-dublin-7-phibsborough-dublin-7/6200517,"Cabra Park,Dublin 7, Phibsborough, Dublin 7",1.0,1.0,Studio,D2,1719.0,53.3620975,-6.2793144,2.977,5.847,2.483,0.464,0.5,1.879,1.91,St Stephen's Green,Sandymount Strand,FlyeFit Georges St,Aldi Phibsborough,Phibsborough Rd Stop,Heuston Station,Abbey Street Luas,False,1.8607102237332864,1719.0,286.0,2005.0,True,2005.0
https://www.daft.ie/for-rent/apartment-31-maplewood-drive-dublin-24-tallaght-dublin-24/6181699,"31 Maplewood Drive, Dublin 24, Tallaght, Dublin 24",3.0,1.0,Apartment,BER Exempt,2600.0,53.2846401,-6.3826042,8.754,12.456,10.189,8.836,9.928,9.187,9.648,Phoenix Park,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Heuston Station,Charlemont Luas,False,10.88572191128895,867.0,,,False,2600.0
https://www.daft.ie/for-rent/house-3-fingal-street-dublin-8-the-coombe-dublin-8/6217324,"Fingal Street, Dublin 8, The Coombe, Dublin 8",3.0,1.0,House,BER Exempt,2700.0,53.3357254,-6.2876456,1.915,5.167,1.779,2.276,2.057,1.271,1.796,St Stephen's Green,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Heuston Station,St Stephen's Green Luas,False,2.3968485170838387,900.0,,,False,2700.0
https://www.daft.ie/for-rent/apartment-fairview-close-richmond-avenue-dublin-3-ballybough-dublin-3/6191079,"Fairview Close,Richmond Avenue,Dublin 3, Ballybough, Dublin 3",2.0,2.0,Apartment,B2,2400.0,53.36369,-6.243207,2.724,4.404,2.746,1.952,1.916,1.29,1.987,Merrion Square Park,Sandymount Strand,FlyeFit Georges St,Aldi Phibsborough,O'Connell St Stop,Connolly Station,Abbey Street Luas,False,1.916315837874827,1200.0,115.0,2515.0,True,2515.0
https://www.daft.ie/for-rent/house-ardbrugh-road-dalkey-co-dublin/5789073,"Ardbrugh Road, Dalkey, Co. Dublin",5.0,5.0,House,A2,7500.0,53.2722716,-6.1072529,11.991,1.566,6.911,7.399,12.025,12.258,11.873,Merrion Square Park,Killiney Beach,Raw Gyms Sandyford,SuperValu Balally,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,False,13.33047101889632,1500.0,38.0,7538.0,True,7538.0
https://www.daft.ie/for-rent/apartment-north-circular-road-dublin-1/6215850,"North Circular Road, Dublin 1",2.0,1.0,Apartment,BER Exempt,1850.0,53.3578358,-6.2525717,2.068,4.231,1.892,1.377,1.03,0.722,1.105,Merrion Square Park,Sandymount Strand,FlyeFit Georges St,Aldi Phibsborough,O'Connell St Stop,Connolly Station,Abbey Street Luas,False,1.0302919133507875,925.0,,,False,1850.0
https://www.daft.ie/for-rent/house-rampart-lane-donnybrook-dublin-4/6212661,"Rampart Lane, Donnybrook, Dublin 4",2.0,2.0,House,A3,4000.0,53.3215971,-6.2349288,2.175,1.824,2.936,0.908,1.938,2.617,1.772,Merrion Square Park,Sandymount Strand,FlyeFit Georges St,Tesco Merrion,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,False,3.559835150880242,2000.0,64.0,4064.0,True,4064.0
