URL,Address,Bedrooms,Bathrooms,Property Type,BER Rating,Price (€),lat,lon,nearest_park_km_y,nearest_beach_km_y,nearest_gym_km_y,nearest_supermarket_km_y,nearest_bus_stop_km_y,nearest_rail_station_km_y,nearest_tram_stop_km_y,nearest_park_name_y,nearest_beach_name_y,nearest_gym_name_y,nearest_supermarket_name_y,nearest_bus_stop_name_y,nearest_rail_station_name_y,nearest_tram_stop_name_y,distance_to_city_centre_km,price_per_bedroom,energy_monthly_estimate,effective_monthly_cost
https://www.daft.ie/for-rent/apartment-apartment-2-tolka-lodge-ballyboggan-road-dublin-cabra-dublin-7/6218725,"Apartment 2, Tolka Lodge, Ballyboggan Road, Dublin, Cabra, Dublin 7",2.0,1.0,Apartment,BER Exempt,2400.0,51.4649839,-0.2597552,453.662,444.088,451.244,451.833,456.644,456.578,456.549,St Anne's Park,Killiney Beach,Raw Gyms Sandyford,SuperValu Balally,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,457.6240258603013,1200.0,80.0,2480.0
https://www.daft.ie/for-rent/apartment-saint-peters-road-phibsborough-dublin-7/6194812,"Saint Peters Road, Phibsborough, Dublin 7",1.0,1.0,Studio,G,1800.0,52.4550623,-1.958814,300.579,292.392,299.624,300.179,304.356,304.109,304.315,St Anne's Park,Killiney Beach,Raw Gyms Sandyford,SuperValu Balally,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,305.1151923077588,1800.0,340.0,2140.0
https://www.daft.ie/for-rent/apartment-saint-peters-road-phibsborough-dublin-7/6194812,"Saint Peters Road, Phibsborough, Dublin 7",1.0,1.0,Studio,G,1800.0,52.4550623,-1.958814,300.579,292.392,299.624,300.179,304.356,304.109,304.315,St Anne's Park,Killiney Beach,Raw Gyms Sandyford,SuperValu Balally,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,305.1151923077588,1800.0,340.0,2140.0
https://www.daft.ie/for-rent/studio-apartment-flat-4-belvedere-place-dublin-1/6203193,"Belvedere Place, Dublin 1",1.0,1.0,Studio,BER Exempt,1500.0,53.3582148,-6.2577212,2.18,4.494,1.837,1.04,0.951,0.974,1.03,Merrion Square Park,Sandymount Strand,FlyeFit Georges St,Aldi Phibsborough,O'Connell St Stop,Connolly Station,Abbey Street Luas,0.9512075381143048,1500.0,80.0,1580.0
https://www.daft.ie/for-rent/apartment-76-the-crescent-carrickmines-manor-dublin-18-carrickmines-dublin-18/6131964,"76 The Crescent, Carrickmines Manor, Dublin 18, Carrickmines, Dublin 18",2.0,2.0,Apartment,C1,2600.0,53.2482869,-6.1776781,11.171,4.868,3.796,4.413,10.795,11.6,10.488,Merrion Square Park,Killiney Beach,Raw Gyms Sandyford,SuperValu Balally,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,12.552274679227684,1300.0,140.0,2740.0
https://www.daft.ie/for-rent/apartment-apartment-36-the-barrington-lansdowne-place-dub-ballsbridge-dublin-4/6144691,"Apartment 36, The Barrington, Lansdowne Place, Dub, Ballsbridge, Dublin 4",2.0,1.0,Apartment,A2,5500.0,41.5320039,-73.932777,5047.535,5055.954,5052.06,5051.121,5051.16,5050.258,5052.213,Phoenix Park,Sandymount Strand,Ben Dunne Gym Northside,Aldi Phibsborough,Phibsborough Rd Stop,Heuston Station,Abbey Street Luas,5052.200630200896,2750.0,50.0,5550.0
https://www.daft.ie/for-rent/apartment-65-beechdale-court-ballycullen-ballycullen-dublin-24/6219036,"65 Beechdale Court, Ballycullen, Ballycullen, Dublin 24",2.0,2.0,Apartment,C2,2250.0,53.2690331,-6.3375489,9.291,10.767,8.451,7.543,8.902,9.179,8.536,St Stephen's Green,Sandymount Strand,Raw Gyms Sandyford,Lidl Rathmines,Leeson St Lwr Stop,Heuston Station,Charlemont Luas,10.34390098852412,1125.0,140.0,2390.0
https://www.daft.ie/for-rent/apartment-broadfield-close-rathcoole-co-dublin/6214248,"Broadfield Close, Rathcoole, Co. Dublin",2.0,1.0,Apartment,A2,1387.0,53.2798792,-6.4826557,13.271,18.891,16.145,15.213,16.115,14.713,15.898,Phoenix Park,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Heuston Station,Charlemont Luas,16.692257623695475,693.5,50.0,1437.0
https://www.daft.ie/for-rent/apartment-the-court-station-road-killiney-co-dublin/5961754,"The Court, Station Road, Killiney, Co. Dublin",2.0,2.0,Apartment,B3,4000.0,51.3119534,0.8906951,531.654,522.551,529.748,530.328,534.934,534.804,534.858,St Anne's Park,Killiney Beach,Raw Gyms Sandyford,SuperValu Balally,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,535.8377324550407,2000.0,80.0,4080.0
https://www.daft.ie/for-rent/apartment-115-custom-house-harbour-ifsc-dublin-1-ifsc-dublin-1/6213210,115 Custom House Harbour IFSC Dublin 1,2.0,1.0,House,C3,2618.0,53.3509076,-6.2476242,1.281,3.445,1.422,2.023,0.85,0.162,0.878,Merrion Square Park,Sandymount Strand,FlyeFit Georges St,Aldi Phibsborough,O'Connell St Stop,Connolly Station,Abbey Street Luas,0.8503164391926082,1309.0,140.0,2758.0
https://www.daft.ie/for-rent/apartment--herbert-park-lane-ballsbridge-dublin-4/6181183,"Herbert Park Lane, Ballsbridge, Dublin 4",2.0,2.0,Apartment,C1,2800.0,53.531947,-2.2894183,257.941,254.877,261.485,261.545,263.734,262.836,263.771,St Anne's Park,Killiney Beach,Raw Gyms Sandyford,Tesco Merrion,Leeson St Lwr Stop,Connolly Station,Abbey Street Luas,263.7494551832032,1400.0,140.0,2940.0
https://www.daft.ie/for-rent/apartment--herbert-park-lane-ballsbridge-dublin-4/6181183,"Herbert Park Lane, Ballsbridge, Dublin 4",2.0,2.0,Apartment,C1,2800.0,53.531947,-2.2894183,257.941,254.877,261.485,261.545,263.734,262.836,263.771,St Anne's Park,Killiney Beach,Raw Gyms Sandyford,Tesco Merrion,Leeson St Lwr Stop,Connolly Station,Abbey Street Luas,263.7494551832032,1400.0,140.0,2940.0
https://www.daft.ie/for-rent/property-apartment-320-the-hawthorns-carrington-dublin-9-co-dublin/6200297,"Apartment 320, The Hawthorns, Carrington, Dublin 9",2.0,2.0,Apartment,BER Exempt,2350.0,41.5637785,-73.9456571,5046.134,5054.554,5050.655,5049.719,5049.758,5048.857,5050.812,Phoenix Park,Sandymount Strand,Ben Dunne Gym Northside,Aldi Phibsborough,Phibsborough Rd Stop,Heuston Station,Abbey Street Luas,5050.799272061191,1175.0,80.0,2430.0
https://www.daft.ie/for-rent/apartment-apartment-320-premier-square-finglas-road-dubli-finglas-dublin-11/6207918,"Premier Square, Finglas, Dublin 11",2.0,2.0,Apartment,C2,2350.0,53.3819046,-6.2896883,3.861,7.867,2.986,2.542,2.604,3.895,4.13,Phoenix Park,Sandymount Strand,Ben Dunne Gym Northside,Aldi Phibsborough,Phibsborough Rd Stop,Heuston Station,Abbey Street Luas,4.067698075712784,1175.0,140.0,2490.0
https://www.daft.ie/for-rent/apartment-ailesbury-oaks-ballsbridge-dublin-4/6180136,"Ailesbury Oaks, Ballsbridge, Dublin 4",2.0,2.0,Apartment,C1,2800.0,53.3208417,-6.2166937,2.953,1.014,3.872,0.316,2.999,3.28,2.916,Merrion Square Park,Sandymount Strand,FlyeFit Georges St,Tesco Merrion,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,4.330317944341322,1400.0,140.0,2940.0
https://www.daft.ie/for-rent/apartment-40-block-3-marina-village-malahide-co-dublin/6182007,"40 Block 3, Marina Village, Malahide, Co. Dublin",2.0,2.0,Apartment,C2,2500.0,30.0508659,31.0040805,3956.055,3946.313,3953.436,3954.032,3958.948,3958.908,3958.845,St Anne's Park,Killiney Beach,Raw Gyms Sandyford,SuperValu Balally,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,3959.95306636686,1250.0,140.0,2640.0
https://www.daft.ie/for-rent/apartment-28-raheen-close-dublin-24-tallaght-dublin-24/6220172,"28 Raheen Close, Dublin 24, Tallaght, Dublin 24",2.0,1.0,Apartment,C1,1700.0,53.2837777,-6.3891582,9.023,12.894,10.59,9.268,10.347,9.549,10.072,Phoenix Park,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Heuston Station,Charlemont Luas,11.276638646327106,850.0,140.0,1840.0
https://www.daft.ie/for-rent/apartment-apartment-30-1-jervis-street-dublin-1/6185455,"Apartment 30, 1 Jervis Street, Dublin 1",2.0,1.0,Apartment,D2,2500.0,41.5654569,-73.5899762,5023.062,5031.477,5027.603,5026.653,5026.691,5025.783,5027.741,Phoenix Park,Sandymount Strand,Ben Dunne Gym Northside,Aldi Phibsborough,Phibsborough Rd Stop,Heuston Station,Abbey Street Luas,5027.728593238244,1250.0,215.0,2715.0
https://www.daft.ie/for-rent/apartment-2-bed-apartment-scholarstown-wood-scholarstown-road-rathfarnham-dublin-16/6046073,"2 Bed Apartment, Scholarstown Wood, Scholarstown Road, Rathfarnham, Dublin 16",2.0,2.0,Apartment,A3,2597.0,9.7887925,126.1599534,11680.025,11679.196,11682.321,11685.662,11685.679,11685.06,11685.974,St Anne's Park,Dollymount Strand,Ben Dunne Gym Northside,Aldi Phibsborough,Phibsborough Rd Stop,Connolly Station,Abbey Street Luas,11685.896567275577,1298.5,50.0,2647.0
https://www.daft.ie/for-rent/apartment-1-bed-seafield-strand-greenfield-road-sutton-dublin-13/5404490,"1-Bed, Seafield Strand, Greenfield Road, Sutton, Dublin 13",1.0,1.0,Apartment,A2,2199.0,47.6314279,-122.2939971,7269.065,7276.629,7270.04,7271.218,7271.277,7271.576,7272.772,Phoenix Park,Sandymount Strand,Ben Dunne Gym Northside,Aldi Phibsborough,Phibsborough Rd Stop,Heuston Station,Abbey Street Luas,7272.713178571463,2199.0,50.0,2249.0
